t,p_b_x,p_b_y,p_b_z,phi_b_z,phi_b_y,phi_b_x,dp_b_x,dp_b_y,dp_b_z,dphi_b_z,dphi_b_y,dphi_b_x,ddp_b_x,ddp_b_y,ddp_b_z,ddphi_b_z,ddphi_b_y,ddphi_b_x,p_m_x,p_m_y,p_m_z,p_e_x,p_e_y,p_e_z,dp_m_x,dp_m_y,dp_m_z,dp_e_x,dp_e_y,dp_e_z
2.152,0.40417856609620006,0.0010830024734226275,0.6419972472419505,0.005897187298806887,-0.47832318305120797,0.15648869664439174,2.2598315258220472e-05,-0.00013146468703321217,4.6745791406184646e-05,-0.00013901594781345455,-0.00014028185057099316,-6.714028264460065e-06,9.336354439659243e-06,0.0006948554083726675,0.0013921313898184687,0.0008481459290289151,-0.0026456978008846735,0.000500023856321993,1.1333945682688027,0.029884638830524324,0.20987965714973128,1.6098720147672136,0.06534649527393592,-0.6454895170580508,-4.141368048493629e-05,-1.2082995135692654e-05,-4.165587597082517e-06,-3.9855857725257204e-05,9.416013108110013e-06,9.935984524034315e-05
2.156,0.40417853864464803,0.0010829599478369958,0.6419974209089838,0.005897058233855994,-0.4783235812281619,0.1564888111855946,2.247458653906707e-05,-0.00012859302505692722,5.2462037410521756e-05,-0.00013593459432657858,-0.00015126858834902594,-4.603106151474316e-06,-7.03025391288703e-05,0.0007415461266620536,0.0014617131945962145,0.0006961850663338339,-0.0028401147328565557,0.0005507177213346558,1.1333944091697434,0.02988458131248416,0.2098796583741423,1.6098718414008986,0.06534653837778724,-0.6454891119496275,-3.8011819025740545e-05,-1.6702594373557686e-05,4.824726951291321e-06,-4.689792332257521e-05,1.2145931932092114e-05,0.00010287537310915686
2.16,0.40417850912868036,0.0010829158781947318,0.6419975947238585,0.005896916288992628,-0.4783239853818658,0.1564889418572554,2.2035976185158036e-05,-0.00012553219313839002,5.843956694133233e-05,-0.000133446455591034,-0.00016300277294837505,-2.3079221142214245e-06,-0.00014777861179445233,0.0007894491211795395,0.0015224178341084597,0.000552264907842336,-0.0030183716323609355,0.0005919674917994213,1.1333942641742505,0.029884505209769336,0.2098796957475469,1.609871639583827,0.06534659244139138,-0.6454886940550659,-3.436761897290804e-05,-2.1362419871245854e-05,1.3877426291442051e-05,-5.4061529031201824e-05,1.488833399447552e-05,0.00010573697283022811
2.164,0.40417847767509935,0.0010828705531612196,0.6419977676660735,0.005896762116335127,-0.47832439315075465,0.1564890883085762,2.129242071877042e-05,-0.00012227730482850132,6.464144852268647e-05,-0.00013151646391768994,-0.00017541556880354417,1.3301871762529723e-07,-0.000222457567855229,0.0008385727356899737,0.0015735698032229792,0.0004177836570369122,-0.003178451739237351,0.0006234571779219666,1.1333941342287916,0.02988441041312519,0.20987976939355263,1.6098714089086663,0.0653466574844592,-0.6454882660538449,-3.0493511937734725e-05,-2.6036178171762157e-05,2.2928703106300776e-05,-6.130578689145233e-05,1.7627750155402283e-05,0.00010791434255918987
2.168,0.40417844442929174,0.001082824284547617,0.6419979386833222,0.00589659648577656,-0.4783248020520042,0.15648925005540218,2.0256359885854886e-05,-0.00011882348297911364,7.10281911828309e-05,-0.00013010417536574731,-0.0001884303969034467,2.680137412350784e-06,-0.00029372466722390306,0.0008889031614821287,0.0016145676878998234,0.00029402500453359307,-0.003318508409733054,0.0006449679811360048,1.133394020226155,0.029884296920343962,0.20987987917717174,1.609871149137532,0.06534673346339262,-0.6454878307403255,-2.6403913944150735e-05,-3.069670684308076e-05,3.191326991905383e-05,-6.858695611455795e-05,2.0348029837469178e-05,0.00010938048922159984
2.172,0.4041784095548493,0.0010827774057902903,0.6419981066974005,0.005896420283171955,-0.47832520949491525,0.1564894264788929,1.8942648429949582e-05,-0.00011516595160441345,7.75580521193215e-05,-0.0001291642525295209,-0.00020196364850131237,5.2931775363968614e-06,-0.0003609896596785544,0.0009404028946338128,0.0016448895046196667,0.0001821462491733502,-0.003436880927657105,0.0006563816771830625,1.13339392299748,0.029884164839470446,0.20988002469971198,1.6098708602130174,0.0653468202686979,-0.6454873910099311,-2.2115233644370826e-05,-3.531611394297359e-05,4.076477477799042e-05,-7.585865113846062e-05,2.3032413865031722e-05,0.000110112012841057
2.176,0.4041783732330396,0.0010827302701991548,0.6419982706105942,0.005896234507594091,-0.4783256127957378,0.15648961682518023,1.736844841315062e-05,-0.00011130013356646096,8.418736449835923e-05,-0.00012864699288688615,-0.00021592545882314964,7.93161345594343e-06,-0.00042369155579354803,0.0009930093756497743,0.0016640974052571104,8.316744650219599e-05,-0.0035321086285676193,0.0006576832100345468,1.1333938433042858,0.029884014391432418,0.20988020529536996,1.6098705422683228,0.06534691772270354,-0.6454869498442227,-1.7645864991422383e-05,-3.986592588336998e-05,4.9416235547994306e-05,-8.3072082768254e-05,2.5663613789639304e-05,0.00011008937306211654
2.18,0.40417833566212624,0.0010826832489794556,0.6419984293125116,0.005896040267647741,-0.4783260091938743,0.15648982020604987,1.555310281733424e-05,-0.0001072217533196117,9.087088275978899e-05,-0.00012849889840626692,-0.00023022053377030007,1.055506741479953e-05,-0.00048130319513364474,0.0010466338289064302,0.001671841704995134,-2.0383222563208e-06,-0.00360294321642388,0.00064896246501594,1.1333937818305602,0.02988384591206338,0.20988042002959637,1.6098701956363553,0.06534702557760821,-0.6454865102949466,-1.3016164368551119e-05,-4.4317243083624684e-05,5.780049022741091e-05,-9.017632995877981e-05,2.8223897399759477e-05,0.00010929713512020091
2.184,0.4041782970565355,0.0010826367290329981,0.6419985816873162,0.005895838776828119,-0.4783263958693739,0.15649003560068817,1.351799131397367e-05,-0.00010292694388088206,9.756214264011254e-05,-0.00012866328175109728,-0.00024474902216055827,1.312373204687348e-05,-0.000533335573747829,0.0011011603182341184,0.0016678641963329087,-7.27534752946797e-05,-0.0036483591682437764,0.0006304151947778686,1.1333937391749709,0.02988365985348775,0.20988066769929178,1.6098698208576832,0.06534714351388274,-0.6454860754671418,-8.24841306368284e-06,-4.8640902743091145e-05,6.585066050779348e-05,-9.71186397968892e-05,3.0695180078255086e-05,0.0001077241942315509
2.188,0.40417825764587795,0.0010825911105474132,0.6419987266213195,0.0058956313479289185,-0.4783267699616323,0.15649026185851572,1.1286369239557014e-05,-9.841235713034752e-05,0.00010421383298935447,-0.00012908090409482342,-0.0002594074256677549,1.5598794886523247e-05,-0.0005793418947820463,0.0011564450337210389,0.0016520007180535643,-0.00012842317229162548,-0.0036675621393735796,0.0006023430773077386,1.1333937158432557,0.029883456784841434,0.20988094683488043,1.6098694186872369,0.06534727113904884,-0.6454856485013928,-3.3667646448520797e-06,-5.280764802523259e-05,7.350062572464282e-05,-0.00010384475412905649,3.305912164852651e-05,0.0001053639766546154
